Mercadoria;Vencimento;Preço de ajuste anterior;Preço de ajuste Atual;Variação;Valor do ajuste por contrato (R$)
JSE - Contrato Futuro de Índice BVMF FTSE/JSE TOP 40;U25;82,564.00;81,435.00;-1,129.00;451.60
KLBNI - Contrato Futuro de KLBN11;H25;20.01;19.91;-0.10;0.10
KLBNI - Contrato Futuro de KLBN11;J25;20.20;20.10;-0.10;0.10
LRENO - Contrato Futuro de LREN3;H25;11.98;11.91;-0.07;0.07
LRENO - Contrato Futuro de LREN3;J25;12.10;12.03;-0.07;0.07
MEX - Peso Mexicano (em USD);J25;20,354.18;20,444.37;90.19;259.24
MEX - Peso Mexicano (em USD);K25;20,449.10;20,526.91;77.81;223.64
MEX - Peso Mexicano (em USD);M25;20,522.45;20,607.67;85.22;244.95
MEX - Peso Mexicano (em USD);N25;20,593.29;20,681.07;87.77;252.29
MEX - Peso Mexicano (em USD);Q25;20,675.83;20,764.86;89.03;255.91
MGLUO - Contrato Futuro de MGLU3;H25;7.83;8.25;0.42;0.42
MGLUO - Contrato Futuro de MGLU3;J25;7.79;8.25;0.46;0.46
MXN - Peso Mexicano (em Reais);J25;2,858.63;2,880.94;22.31;1,673.10
MXN - Peso Mexicano (em Reais);K25;2,860.95;2,885.18;24.23;1,817.55
MXN - Peso Mexicano (em Reais);M25;2,870.64;2,894.05;23.42;1,756.20
MXN - Peso Mexicano (em Reais);N25;2,879.76;2,903.06;23.30;1,747.35
MXN - Peso Mexicano (em Reais);Q25;2,890.62;2,914.32;23.71;1,778.10
NOK - Coroa Norueguesa (em USD);J25;10,850.18;10,787.17;-63.01;342.19
NOK - Coroa Norueguesa (em USD);K25;10,848.00;10,786.25;-61.75;335.32
NOK - Coroa Norueguesa (em USD);M25;10,846.55;10,783.45;-63.10;342.67
NOK - Coroa Norueguesa (em USD);N25;10,845.85;10,784.04;-61.81;335.67
NOK - Coroa Norueguesa (em USD);Q25;10,845.15;10,786.15;-59.01;320.45
NTCOO - Contrato Futuro de NTCO3;H25;13.44;13.12;-0.32;0.32
NTCOO - Contrato Futuro de NTCO3;J25;13.57;13.25;-0.32;0.32
NZD - Dólar da Nova Zelândia (em Reais);J25;3,317.71;3,354.89;37.17;2,787.90
NZD - Dólar da Nova Zelândia (em Reais);K25;3,338.82;3,375.76;36.95;2,771.02
NZD - Dólar da Nova Zelândia (em Reais);M25;3,363.90;3,401.84;37.94;2,845.80
NZD - Dólar da Nova Zelândia (em Reais);N25;3,389.21;3,426.99;37.78;2,833.42
NZD - Dólar da Nova Zelândia (em Reais);Q25;3,418.01;3,456.65;38.64;2,897.70
NZL - Dólar da Nova Zelândia (em USD);J25;570.20;569.60;-0.60;35.14
NZL - Dólar da Nova Zelândia (em USD);K25;570.70;570.00;-0.70;41.00
NZL - Dólar da Nova Zelândia (em USD);M25;571.00;570.40;-0.60;35.14
NZL - Dólar da Nova Zelândia (em USD);N25;571.50;570.80;-0.70;41.00
NZL - Dólar da Nova Zelândia (em USD);Q25;571.90;571.20;-0.70;41.00
OC1 - Contrato Futuro de OC1;J25;99,190.62;99,190.67;0.05;0.05
OC1 - Contrato Futuro de OC1;K25;98,152.27;98,152.84;0.57;0.57
OC1 - Contrato Futuro de OC1;M25;97,046.71;97,047.81;1.10;1.10
OC1 - Contrato Futuro de OC1;N25;95,994.46;95,997.81;3.35;3.35
OC1 - Contrato Futuro de OC1;Q25;94,793.67;94,790.29;-3.38;3.38
OC1 - Contrato Futuro de OC1;U25;93,699.67;93,693.49;-6.18;6.18
OC1 - Contrato Futuro de OC1;V25;92,563.25;92,551.82;-11.43;11.43
OC1 - Contrato Futuro de OC1;X25;91,392.59;91,372.11;-20.48;20.48
OC1 - Contrato Futuro de OC1;Z25;90,434.32;90,406.12;-28.20;28.20
OC1 - Contrato Futuro de OC1;H26;87,406.87;87,353.89;-52.98;52.98
OC1 - Contrato Futuro de OC1;J26;86,350.26;86,292.04;-58.22;58.22
OC1 - Contrato Futuro de OC1;N26;83,550.76;83,468.06;-82.70;82.70
OC1 - Contrato Futuro de OC1;V26;80,738.58;80,628.46;-110.12;110.12
OC1 - Contrato Futuro de OC1;J27;75,700.99;75,549.34;-151.65;151.65
OC1 - Contrato Futuro de OC1;N27;73,239.39;73,065.37;-174.02;174.02
OC1 - Contrato Futuro de OC1;V27;70,742.34;70,558.13;-184.21;184.21
OC1 - Contrato Futuro de OC1;J28;66,098.51;65,874.63;-223.88;223.88
OC1 - Contrato Futuro de OC1;N28;63,916.16;63,693.42;-222.74;222.74
OC1 - Contrato Futuro de OC1;V28;61,696.98;61,453.90;-243.08;243.08
OC1 - Contrato Futuro de OC1;J29;57,773.38;57,510.69;-262.69;262.69
OC1 - Contrato Futuro de OC1;N29;55,786.88;55,523.68;-263.20;263.20
OC1 - Contrato Futuro de OC1;V29;53,822.75;53,574.94;-247.81;247.81
OC1 - Contrato Futuro de OC1;N30;48,620.79;48,336.36;-284.43;284.43
PCARO - Contrato Futuro de PCAR3;H25;2.50;2.47;-0.03;0.03
PCARO - Contrato Futuro de PCAR3;J25;2.52;2.48;-0.04;0.04
PETRP - Contrato Futuro de PETR4;H25;34.80;34.78;-0.02;0.02
PETRP - Contrato Futuro de PETR4;J25;35.15;35.12;-0.03;0.03
PRIOO - Contrato Futuro de PRIO3;H25;38.51;37.70;-0.81;0.81
PRIOO - Contrato Futuro de PRIO3;J25;38.89;38.08;-0.81;0.81
PSSAO - Contrato Futuro de PSSA3;H25;37.86;37.57;-0.29;0.29
PSSAO - Contrato Futuro de PSSA3;J25;38.23;37.94;-0.29;0.29
RADLO - Contrato Futuro de RADL3;H25;17.90;17.90;0.00;0.00
RADLO - Contrato Futuro de RADL3;J25;18.06;18.06;0.00;0.00
RAILO - Contrato Futuro de RAIL3;H25;17.96;17.42;-0.54;0.54
RAILO - Contrato Futuro de RAIL3;J25;18.13;17.59;-0.54;0.54
RENTO - Contrato Futuro de RENT3;H25;29.97;29.89;-0.08;0.08
RENTO - Contrato Futuro de RENT3;J25;30.26;30.18;-0.08;0.08
RUB - Rublo Russo (em USD);J25;91,356.63;88,772.50;-2,584.13;1,730.21
RUB - Rublo Russo (em USD);K25;93,063.21;90,352.13;-2,711.07;1,815.20
RUB - Rublo Russo (em USD);M25;94,352.13;91,819.26;-2,532.87;1,695.89
RUB - Rublo Russo (em USD);N25;95,506.93;92,959.28;-2,547.65;1,705.78
RUB - Rublo Russo (em USD);Q25;96,845.43;94,202.40;-2,643.03;1,769.65
SEK - Coroa Sueca (em USD);J25;10,069.95;10,118.99;49.04;283.69
SEK - Coroa Sueca (em USD);K25;10,049.00;10,100.33;51.33;296.96
SEK - Coroa Sueca (em USD);M25;10,030.96;10,082.01;51.05;295.33
SEK - Coroa Sueca (em USD);N25;10,015.37;10,066.32;50.94;294.71
SEK - Coroa Sueca (em USD);Q25;9,997.70;10,048.83;51.12;295.74
SJC - Soja Financeira Cross Listing;K25;22.60;22.35;-0.24;639.28
SJC - Soja Financeira Cross Listing;N25;22.90;22.67;-0.23;610.02
SJC - Soja Financeira Cross Listing;Q25;22.83;22.61;-0.23;595.78
SJC - Soja Financeira Cross Listing;U25;22.52;22.33;-0.19;493.76
SJC - Soja Financeira Cross Listing;X25;22.61;22.44;-0.17;450.26
SJC - Soja Financeira Cross Listing;H26;22.94;22.78;-0.15;406.77
SJC - Soja Financeira Cross Listing;K26;23.07;22.93;-0.14;377.77
SJC - Soja Financeira Cross Listing;X26;22.59;22.44;-0.15;406.77
SML - Contrato Futuro de Small Cap;J25;1,871.21;1,852.97;-18.24;182.40
SML - Contrato Futuro de Small Cap;M25;1,857.00;1,838.90;-18.10;181.00
SML - Contrato Futuro de Small Cap;Q25;1,857.00;1,838.90;-18.10;181.00
SML - Contrato Futuro de Small Cap;V25;1,857.00;1,838.90;-18.10;181.00
SML - Contrato Futuro de Small Cap;Z25;1,857.00;1,838.90;-18.10;181.00
SML - Contrato Futuro de Small Cap;J26;1,857.00;1,838.90;-18.10;181.00
SML - Contrato Futuro de Small Cap;M26;1,857.00;1,838.90;-18.10;181.00
SML - Contrato Futuro de Small Cap;Q26;1,857.00;1,838.90;-18.10;181.00
SML - Contrato Futuro de Small Cap;V26;1,857.00;1,838.90;-18.10;181.00
SML - Contrato Futuro de Small Cap;Z26;1,857.00;1,838.90;-18.10;181.00
SOY - Soja FOB Santos;K25;396.80;396.60;-0.20;39.39
SOY - Soja FOB Santos;X25;415.40;412.60;-2.80;551.49
SOY - Soja FOB Santos;H26;384.20;381.60;-2.60;512.10
SUZBO - Contrato Futuro de SUZB3;H25;55.62;55.84;0.22;0.22
SUZBO - Contrato Futuro de SUZB3;J25;56.17;56.39;0.22;0.22
SWI - Franco Suíço (em USD);J25;877.50;879.00;1.50;99.72
SWI - Franco Suíço (em USD);K25;874.10;875.90;1.80;119.66
SWI - Franco Suíço (em USD);M25;871.10;872.80;1.70;113.01
SWI - Franco Suíço (em USD);N25;868.30;870.00;1.70;113.01
SWI - Franco Suíço (em USD);Q25;865.10;866.90;1.80;119.66
T10 - US T-Note 10 anos;M25;110.58;111.33;0.75;4,344.75
T10 - US T-Note 10 anos;U25;110.61;111.36;0.75;4,344.75
TRY - Lira Turca (em Reais);J25;156.94;158.73;1.79;134.40
TRY - Lira Turca (em Reais);K25;153.95;156.11;2.15;161.55
TRY - Lira Turca (em Reais);M25;151.65;153.55;1.90;142.27
TRY - Lira Turca (em Reais);N25;149.26;151.14;1.88;140.62
TRY - Lira Turca (em Reais);Q25;146.52;148.43;1.90;142.72
TUQ - Lira Turca (em USD);J25;37,075.80;37,107.10;31.30;50.18
TUQ - Lira Turca (em USD);K25;38,001.20;37,938.00;-63.20;101.33
TUQ - Lira Turca (em USD);M25;38,846.70;38,840.30;-6.40;10.26
TUQ - Lira Turca (em USD);N25;39,731.00;39,724.20;-6.80;10.90
TUQ - Lira Turca (em USD);Q25;40,789.80;40,771.90;-17.90;28.69
USIMA - Contrato Futuro de USIM5;H25;6.05;5.99;-0.06;0.06
USIMA - Contrato Futuro de USIM5;J25;6.11;6.05;-0.06;0.06
VALEO - Contrato Futuro de VALE3;H25;55.16;54.24;-0.92;0.92
VALEO - Contrato Futuro de VALE3;J25;55.72;54.77;-0.95;0.95
VBBRO - Contrato Futuro de VBBR3;H25;16.75;16.57;-0.18;0.18
VBBRO - Contrato Futuro de VBBR3;J25;16.91;16.73;-0.18;0.18
WDO - Dólar Mini - WDO;J25;5,818.51;5,889.90;71.39;713.89
WDO - Dólar Mini - WDO;K25;5,850.39;5,922.39;72.00;720.04
WDO - Dólar Mini - WDO;M25;5,891.25;5,963.96;72.72;727.18
WDO - Dólar Mini - WDO;N25;5,930.38;6,003.84;73.46;734.60
WDO - Dólar Mini - WDO;Q25;5,976.59;6,051.56;74.97;749.65
WDO - Dólar Mini - WDO;U25;6,023.03;6,099.37;76.34;763.37
WDO - Dólar Mini - WDO;V25;6,068.53;6,145.87;77.34;773.44
WDO - Dólar Mini - WDO;Z25;6,158.15;6,238.95;80.81;808.07
WDO - Dólar Mini - WDO;H26;6,292.03;6,378.20;86.17;861.69
WDO - Dólar Mini - WDO;J26;6,342.90;6,431.20;88.30;882.97
WDO - Dólar Mini - WDO;N26;6,475.39;6,570.70;95.31;953.09
WDO - Dólar Mini - WDO;V26;6,619.32;6,720.04;100.72;1,007.18
WDO - Dólar Mini - WDO;J27;6,890.44;7,005.66;115.23;1,152.28
WDO - Dólar Mini - WDO;N27;7,036.15;7,159.87;123.72;1,237.15
WDO - Dólar Mini - WDO;N28;7,675.88;7,836.83;160.95;1,609.51
WEGEO - Contrato Futuro de WEGE3;H25;48.13;47.90;-0.23;0.23
WEGEO - Contrato Futuro de WEGE3;J25;48.61;48.37;-0.24;0.24
WEU - EURO MÍNI;J25;6,314.30;6,384.34;70.03;700.33
WEU - EURO MÍNI;K25;6,360.35;6,429.90;69.55;695.45
WIN - Ibovespa Mini;J25;126,677.00;125,935.00;-742.00;148.40
WIN - Ibovespa Mini;M25;129,220.00;128,460.00;-760.00;152.00
WIN - Ibovespa Mini;Q25;131,677.00;130,913.00;-764.00;152.80
WIN - Ibovespa Mini;V25;134,606.00;133,841.00;-765.00;153.00
WIN - Ibovespa Mini;Z25;137,548.00;136,793.00;-755.00;151.00
WIN - Ibovespa Mini;J26;143,038.00;142,304.00;-734.00;146.80
WIN - Ibovespa Mini;M26;145,922.00;145,204.00;-718.00;143.60
WIN - Ibovespa Mini;Q26;148,662.00;147,964.00;-698.00;139.60
WIN - Ibovespa Mini;V26;151,641.00;150,968.00;-673.00;134.60
WIN - Ibovespa Mini;Z26;154,656.00;154,018.00;-638.00;127.60
WSP - Microcontrato Futuro de S&P 500;H25;5,782.00;5,622.00;-160.00;2,343.32
WSP - Microcontrato Futuro de S&P 500;M25;5,842.25;5,676.50;-165.75;2,427.53
WSP - Microcontrato Futuro de S&P 500;U25;5,885.25;5,719.75;-165.50;2,423.87
WSP - Microcontrato Futuro de S&P 500;Z25;5,931.50;5,762.00;-169.50;2,482.45
XFI - Futuro de IFIX;J25;3,246.50;3,227.00;-19.50;195.00
XFI - Futuro de IFIX;M25;3,246.50;3,250.20;3.70;37.00
ZAR - Rande da África do Sul (em Reais);J25;3,175.56;3,206.12;30.56;1,069.67
ZAR - Rande da África do Sul (em Reais);K25;3,184.25;3,216.10;31.86;1,114.96
ZAR - Rande da África do Sul (em Reais);M25;3,199.03;3,230.45;31.42;1,099.59
ZAR - Rande da África do Sul (em Reais);N25;3,212.38;3,244.07;31.69;1,109.18
ZAR - Rande da África do Sul (em Reais);Q25;3,228.11;3,260.61;32.49;1,137.32
